Employee,Shift,Mon 01/26,Tue 01/27,Wed 01/28,Thu 01/29,Fri 01/30,Sat 01/31,Sun 02/01,Mon 02/02,Tue 02/03,Wed 02/04,Thu 02/05,Fri 02/06,Sat 02/07,Sun 02/08,Total Hours
T1-01,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,80
T1-02,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,80
T1-03,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,80
T1-04,D,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,80
T1-05,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,80
T1-06,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,80
T1-07,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,S,80
T1-08,S,S,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,80
T1-09,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S,80
T1-10,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,80
T1-11,S,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,80
T1-12,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,N,80
T1-13,N,N,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,80
T1-14,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,N,N,N,80
T1-15,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,80
T1-16,N,OFF,N,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,80
