Employee,Shift,Mon 01/26,Tue 01/27,Wed 01/28,Thu 01/29,Fri 01/30,Sat 01/31,Sun 02/01,Mon 02/02,Tue 02/03,Wed 02/04,Thu 02/05,Fri 02/06,Sat 02/07,Sun 02/08,Total Hours
T2-01,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,80
T2-02,D,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,80
T2-03,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,80
T2-04,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,80
T2-05,D,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,80
T2-06,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,S,80
T2-07,S,S,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,80
T2-08,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S,80
T2-09,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,OFF,S,S,80
T2-10,S,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S,OFF,80
T2-11,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,N,80
T2-12,N,N,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,80
T2-13,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,N,N,N,80
T2-14,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,N,N,80
T2-15,N,OFF,N,N,N,N,N,OFF,OFF,N,N,N,N,N,OFF,80
